ox,oy,oz,ow,ax,ay,az,lx,ly,lz
-0.05967943,0.05046941,0.08080706,0.99366069,-0.00146474,0.00106526,0.00039947,-0.01146434,-0.01167595,0.10192806
-0.05994212,0.05048523,0.08021373,0.99369204,0.00119842,0.00053263,0.00079895,-0.0115328,-0.0117942,0.10223924
-0.05998344,0.05050857,0.08042634,0.99367124,-0.00079895,-0.00013316,0.00119842,-0.01146434,-0.01171952,0.10185959
-0.05923366,0.05042322,0.07762591,0.99394327,-0.0015979,0.00053263,0.00079895,-0.01113447,-0.01149546,0.1023575
-0.05827283,0.05089105,0.07206486,0.9943949,-0.00119842,0.00079895,0.00093211,-0.01125895,-0.0114021,0.10167287
-0.05885038,0.05101412,0.07081731,0.99444413,0.00066579,0.00146474,0.00066579,-0.01132741,-0.01180043,0.10210855
-0.06106107,0.05066887,0.0775697,0.99382454,-0.00093211,0.00292948,-0.00013316,-0.01147056,-0.01148923,0.10187826
-0.06154007,0.05046666,0.08152012,0.99348903,-0.00106526,0.00319579,0.00039947,-0.01127762,-0.01162616,0.10195295
-0.05970794,0.05079471,0.07596255,0.99402446,0.00053263,0.00213053,0.00053263,-0.01171329,-0.01169462,0.10176624
-0.05902585,0.05100949,0.07270256,0.99429798,-0.00106526,0.00173105,-0.00013316,-0.01131497,-0.01156392,0.10208987
-0.06043673,0.05098159,0.07596972,0.99397027,0.00039947,0.00239685,0.0,-0.0115328,-0.01165728,0.10154217
-0.06116448,0.05076824,0.07897408,0.99370253,0.00026632,0.00106526,0.00199737,-0.011427,-0.01176308,0.10176001
-0.06225768,0.0506222,0.08329459,0.99328923,0.00053263,0.00213053,0.00199737,-0.01136476,-0.01157637,0.10192806
-0.06251632,0.05039941,0.08747509,0.99292493,-0.00026632,0.00213053,0.00066579,-0.01150791,-0.01145189,0.10188448
-0.06164818,0.05034069,0.08743463,0.99298567,-0.00013316,0.00106526,-0.00079895,-0.0115577,-0.01163861,0.1019654
